gndid,qid
7740035-5,Q610961
4070108-6,Q33200
4122902-2,Q154996
4194515-3,Q1287889
4104570-1,Q259799
4647158-3,Q2407092
4509621-1,Q2261322
4363430-8,Q2776250
4541734-9,Q41276709
7517061-9,Q225471
4270903-9,Q693869
4223589-3,Q1991117
4308121-6,Q2542886
4501844-3,Q3983228
4683710-3,Q437807
4227471-0,Q262306
4759120-1,Q1236564
4097998-2,Q191739
4657526-1,Q684119
4306895-9,Q390150
4466667-6,Q944225
4398519-1,Q2942355
4270744-4,Q872821
4796465-0,Q99689871
4272463-6,Q1488613
4117859-2,Q205380
4393279-4,Q458439
4237104-1,Q598352
7738806-9,Q127426
4386310-3,Q43473
4289347-1,Q322853
4122597-1,Q4176
4222392-1,Q686109
4069037-4,Q611944
4409302-0,Q4055
4335629-1,Q535443
4222282-5,Q28805444
4248427-3,Q686664
4196596-6,Q688315
4243639-4,Q638519
4274055-1,Q1690839
7665776-0,Q2244534
4716285-5,Q2031943
4543717-8,Q819742
7704944-5,Q1545815
4495218-1,Q1441816
4418011-1,Q538370
4307225-2,Q2462558
4307222-7,Q3047420
4336926-1,Q880354
4224747-0,Q205136
4754826-5,Q2942514
4370404-9,Q314092
4297022-2,Q143463
4267115-2,Q170123
4103202-0,Q179062
4251533-6,Q753721
4468106-9,Q61962413
4068763-6,Q5901
4231815-4,Q2240814
4486270-2,Q2204013
4253825-7,Q10924
4796483-2,Q1744339
4359256-9,Q279402
4317974-5,Q875317
4526471-5,Q155743
4323189-5,Q878372
4215003-6,Q3916007
4318293-8,Q1260885
1244927392,Q1679537
4447660-7,Q2316162
4581807-1,Q2095189
4361353-6,Q323556
4075797-3,Q963954
4195250-9,Q267182
4597714-8,Q2024749
4429382-3,Q375042
7674347-0,Q49231459
4366980-3,Q2321283
7674353-6,Q1246236
4076822-3,Q12512
4262377-7,Q231699
4228647-5,Q186282
4107883-4,Q15782757
4124075-3,Q84090
4513905-2,Q253663
4093545-0,Q37200
4416535-3,Q5920
4302608-4,Q1571657
4361287-8,Q202902
4194773-3,Q280268
4260256-7,Q321819
4116639-5,Q745460
4068523-8,Q94744
4075869-2,Q2981
4126584-1,Q5908
4225189-8,Q1649788
4275418-5,Q18068
4463440-7,Q1330584
4075873-4,Q1075988
