gndid,coords
4760231-4,45.43694444|12.33833333
4788083-1,50.086894|8.239194
4368129-3,50.1367|8.91861
4112829-1,53.07548|8.80906
4358630-2,54.7063888888889|20.5116666666667
7618873-5,35.714555555556|139.79663888889
4320942-7,54.685888888889|25.287877777778
4410516-2,48.21545|16.3591
4272995-6,48.208|16.367
4071060-9,50.7225|-3.52972222222222
4200184-5,53.546|9.994375
4204237-9,43.774888888889|11.253863888889
4595098-2,59.9367|30.3239
4278599-6,52.504722222222|13.335277777778
4222311-8,48.3727435878938|10.8965657117346
4346375-7,52.508|13.2769
1023093537,41.8931|12.4795
4598467-0,51.7536|11.9767
4229792-8,51.9609|7.63222
4264411-2,52.401301|13.01603
4367719-8,49.120278|6.175556
4192773-4,52.520556|13.406667
1081554452,29.5727777777778|106.577777777778
1072252481,47.803417|13.041927
4267117-6,51.051944444444|13.741666666667
7603227-9,47.448479|12.389268
4134276-8,49.317222|8.4425
4609112-9,52.1715555555556|14.2484722222222
7554320-5,53.54141667|9.98419444
1092204164,45.4675|9.18916666666667
4232545-6,43.77127778|11.24959722
4074052-3,46.5225|6.63555555555556
4223469-4,52.148889|9.947222
4471294-7,38.714722222222|-9.1277777777778
4224871-1,49.995555555556|8.2686111111111
1084249723,52.50522|13.37745
4497285-4,63.4269|10.3969
4645953-4,35.6852777777778|-121.167777777778
4069930-4,48.4477777777778|1.48777777777778
102828909X,50.68806|6.89468
7754216-2,53.8778|10.7069
4837678-4,50.8981|10.5558
4639595-7,47.8794|10.6213
4091345-4,51.4331|6.77111
4250453-3,52.0909203522876|5.12223326115842
4218076-4,48.8919228763653|11.1833823035637
4594885-9,53.549255|9.997706
4664440-4,52.4853|13.5283
7785596-6,51.9346|8.88071
4204759-6,51.456|7.014
4436150-6,51.977822|7.291656
4223680-0,51.50067|-0.12457
4113632-9,48.3989265306119|11.7464953059728
1028079885,50.9411|6.9573
4104214-1,49.890703|10.882533
4125053-9,50.110556|8.685
4199339-1,50.975869|11.023414
4587242-9,53.3001|10.3897
4341611-1,52.3581|14.0653
4193177-4,45.55|11.549166666667
4528346-1,51.9639|12.0818
4682298-7,52.3675|4.905278
4098070-4,52.2447|10.8157
4504194-5,50.226462203654|8.6115912206596
104365559X,49.7533333333333|6.64333333333333
4389385-5,52.8495|11.1493
4075796-1,45.40137|11.88053
4236652-5,43.7769|11.26128
7648338-1,51.5941666666667|-0.130833333333333
4446799-0,43.719325|10.40095278
4193854-9,48.1561022407036|11.5003802289304
4482874-3,52.5178|13.3917
7757671-8,51.4346|6.93761
4348588-1,49.6787|9.00483
4222332-5,48.3678|10.8953
4527519-1,52.5169|13.4131
4117646-7,48.18479|16.31227
4393732-9,47.365986|8.537664
7572082-6,47.4523042739742|10.2835899015397
4256514-5,50.0908333333333|14.4005555555556
4357932-2,45.3076318|18.4109235
7555101-9,51.33784|12.38634
4603445-6,41.65456|-0.87585
7625753-8,-33.43765833|-70.65180556
4509353-2,36.720042|-4.42012
4122665-3,50.9661111111111|10.3063888888889
4075347-5,46.987222222222|3.1572222222222
4220214-0,49.0136|8.40444
4256398-7,45.1335|10.0255
